UsageData 2026-05-06,,,,,,,,,
,,,,,,,,,
ApplicationName,Functionality,cadTool,ProductLine,Status,Region,StartDate,StopDate,isProd,isVDI
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,TRIM,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,EXPORT EXCEL,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,CATIA,FLUIDS,Success,NA,1/25/2025,1/25/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/27/2025,1/27/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/27/2025,1/27/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,CATIA,FLUIDS,Success,NA,1/27/2025,1/27/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/28/2025,1/28/2025,TRUE,TRUE
DESIGN TOOLKIT,SEAL CREATOR,CATIA,SEALING,Success,EU,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME BODY,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
SMART CVT,INNER VOLUME SURFACE,NX,FLUIDS,Success,NA,1/28/2025,1/28/2025,TRUE,TRUE
